Timestamp,Value,,,,
04.11.2024 14:31,1963,71,,,
04.11.2024 14:31,1967,72,,,
04.11.2024 14:31,1961,73,,,
04.11.2024 14:31,1941,74,,,
04.11.2024 14:31,1934,75,,,
04.11.2024 14:31,1931,76,,,
04.11.2024 14:31,1935,77,,,
04.11.2024 14:31,1935,78,,,
04.11.2024 14:31,1943,79,,,
04.11.2024 14:31,1959,80,,,
04.11.2024 14:31,1960,81,,,
04.11.2024 14:31,1966,82,,,
04.11.2024 14:31,1966,83,,,
04.11.2024 14:31,1964,84,,,
04.11.2024 14:31,1953,85,,,
04.11.2024 14:31,1940,86,,,
04.11.2024 14:31,1940,87,,,
04.11.2024 14:31,1940,88,,,
04.11.2024 14:31,1950,89,,,
04.11.2024 14:31,1979,90,,,
04.11.2024 14:31,1978,91,,,
04.11.2024 14:31,1983,92,,,
04.11.2024 14:31,1982,93,,,
04.11.2024 14:31,1981,94,,,
04.11.2024 14:31,1985,95,,,
04.11.2024 14:31,1986,96,,,
04.11.2024 14:31,1985,97,,,
04.11.2024 14:31,1982,98,,,
04.11.2024 14:31,1982,99,,,
04.11.2024 14:31,1980,100,,,
04.11.2024 14:31,1979,101,,,
04.11.2024 14:31,1943,102,,,
04.11.2024 14:31,1941,103,,,
04.11.2024 14:31,1941,104,,,
04.11.2024 14:31,1942,105,,,
04.11.2024 14:31,1953,106,,,
04.11.2024 14:31,1962,107,,,
04.11.2024 14:31,1961,108,,,
04.11.2024 14:31,1963,109,,,
04.11.2024 14:31,1963,110,,,
04.11.2024 14:31,1964,111,,,
04.11.2024 14:31,1962,112,,,
04.11.2024 14:31,1963,113,,,
04.11.2024 14:31,1965,114,,,
04.11.2024 14:31,1963,115,,,
04.11.2024 14:31,1963,116,,,
04.11.2024 14:31,1931,117,,,
04.11.2024 14:31,1936,118,,,
04.11.2024 14:31,1938,119,,,
04.11.2024 14:31,1938,120,,,
04.11.2024 14:31,1937,121,,,
04.11.2024 14:31,1944,122,,,
04.11.2024 14:31,1944,123,,,
04.11.2024 14:31,1944,124,,,
04.11.2024 14:31,1943,125,,,
04.11.2024 14:31,1943,126,,,
04.11.2024 14:31,1944,127,,,
04.11.2024 14:31,1945,128,,,
04.11.2024 14:31,1951,129,,,
04.11.2024 14:31,1973,130,,,
04.11.2024 14:31,1978,131,,,
04.11.2024 14:31,1982,132,,,
04.11.2024 14:31,1985,133,,,
04.11.2024 14:31,1985,134,,,
04.11.2024 14:31,1985,135,,,
04.11.2024 14:31,1985,136,,,
04.11.2024 14:31,1982,137,,,
04.11.2024 14:31,1979,138,,,
04.11.2024 14:31,1978,139,,,
04.11.2024 14:31,1979,140,,,
04.11.2024 14:31,1979,141,,,
04.11.2024 14:31,1981,142,,,
04.11.2024 14:31,1971,143,,,
04.11.2024 14:31,1966,144,,,
04.11.2024 14:31,1966,145,,,
04.11.2024 14:31,1965,146,,,
04.11.2024 14:31,1964,147,,,
04.11.2024 14:31,1950,148,,,
04.11.2024 14:31,1940,149,,,
04.11.2024 14:31,1941,150,,,
04.11.2024 14:31,1941,151,,,
04.11.2024 14:31,1943,152,,,
04.11.2024 14:31,1938,153,,,
04.11.2024 14:31,1942,154,,,
04.11.2024 14:31,1945,155,,,
04.11.2024 14:31,1948,156,,,
04.11.2024 14:31,1955,157,,,
04.11.2024 14:31,1965,158,,,
04.11.2024 14:31,1967,159,,,
04.11.2024 14:31,1966,160,,,
04.11.2024 14:31,1963,161,,,
04.11.2024 14:31,1966,162,,,
04.11.2024 14:31,1965,163,,,
04.11.2024 14:31,1965,164,,,
04.11.2024 14:31,1965,165,,,
04.11.2024 14:31,1962,166,,,
04.11.2024 14:31,1965,167,,,
04.11.2024 14:31,1965,168,,,
04.11.2024 14:31,1965,169,,,
04.11.2024 14:31,1962,170,,,
04.11.2024 14:31,1965,171,,,
04.11.2024 14:31,1966,172,,,
04.11.2024 14:31,1965,173,,,
04.11.2024 14:31,1964,174,,,
04.11.2024 14:31,1945,175,,,
04.11.2024 14:31,1931,176,,,
04.11.2024 14:31,1953,177,,,
04.11.2024 14:31,1960,178,,,
04.11.2024 14:31,1961,179,,,
04.11.2024 14:31,1966,180,,,
04.11.2024 14:31,1954,181,,,
04.11.2024 14:31,1935,182,,,
04.11.2024 14:31,1934,183,,,
04.11.2024 14:31,1936,184,,,
04.11.2024 14:31,1951,185,,,
04.11.2024 14:31,1955,186,,,
04.11.2024 14:31,1958,187,,,
04.11.2024 14:31,1964,188,,,
04.11.2024 14:31,1964,189,,,
04.11.2024 14:31,1964,190,,,
04.11.2024 14:31,1964,191,,,
04.11.2024 14:31,1966,192,,,
04.11.2024 14:31,1966,193,,,
04.11.2024 14:31,1963,194,,,
04.11.2024 14:31,1966,195,,,
04.11.2024 14:31,1964,196,,,
04.11.2024 14:31,1966,197,,,
04.11.2024 14:31,1962,198,,,
04.11.2024 14:31,1951,199,,,
04.11.2024 14:31,1931,200,,,
04.11.2024 14:31,1934,201,,,
04.11.2024 14:31,1937,202,,,
04.11.2024 14:31,1937,203,,,
04.11.2024 14:31,1940,204,,,
04.11.2024 14:31,1958,205,,,
04.11.2024 14:31,1958,206,,,
04.11.2024 14:31,1961,207,,,
04.11.2024 14:31,1962,208,,,
04.11.2024 14:31,1965,209,,,
04.11.2024 14:31,1963,210,,,
04.11.2024 14:31,1946,211,,,
04.11.2024 14:31,1941,212,,,
04.11.2024 14:31,1944,213,,,
04.11.2024 14:31,1943,214,,,
04.11.2024 14:31,1955,215,,,
04.11.2024 14:31,1970,216,,,
04.11.2024 14:31,1984,217,,,
04.11.2024 14:31,1986,218,,,
04.11.2024 14:31,1986,219,,,
04.11.2024 14:31,1986,220,,,
04.11.2024 14:31,1983,221,,,
04.11.2024 14:31,1981,222,,,
04.11.2024 14:31,1979,223,,,
04.11.2024 14:31,1978,224,,,
04.11.2024 14:31,1980,225,,,
04.11.2024 14:31,1982,226,,,
04.11.2024 14:31,1981,227,,,
04.11.2024 14:31,1943,228,,,
04.11.2024 14:31,1942,229,,,
04.11.2024 14:31,1943,230,,,
04.11.2024 14:31,1943,231,,,
04.11.2024 14:31,1953,232,,,
04.11.2024 14:31,1962,233,,,
04.11.2024 14:31,1962,234,,,
04.11.2024 14:31,1961,235,,,
04.11.2024 14:31,1961,236,,,
04.11.2024 14:31,1964,237,,,
04.11.2024 14:31,1964,238,,,
04.11.2024 14:31,1963,239,,,
04.11.2024 14:31,1962,240,,,
04.11.2024 14:31,1960,241,,,
04.11.2024 14:31,1963,242,,,
04.11.2024 14:31,1932,243,,,
04.11.2024 14:31,1937,244,,,
04.11.2024 14:31,1938,245,,,
04.11.2024 14:31,1938,246,,,
04.11.2024 14:31,1938,247,,,
04.11.2024 14:31,1940,248,,,
04.11.2024 14:31,1942,249,,,
04.11.2024 14:31,1942,250,,,
